,Difference (|)
213,-176.1525458153251
214,-183.31284381785147
215,-178.56206976404752
216,-173.7566307500934
217,-175.13884620567148
218,-188.39044450107437
219,-181.73035257907094
220,-178.82446856592404
221,-180.09380259499076
222,-173.01900544186813
223,-169.27128876274833
224,-169.879516876871
225,-163.78812717580652
226,-177.73885558606804
227,-170.64165536246014
228,-177.21831200784968
229,-180.45862678909617
230,-170.68306625005079
231,-166.1588755096464
232,-172.29838563468337
233,-178.0018365161337
234,-167.16795953864664
235,-169.58579722875137
236,-168.1126589251127
237,-168.9056379150885
238,-166.86691494924634
239,-164.24675463460804
240,-166.83016640924066
241,-171.504115505191
242,-172.4762722797542
243,-164.55161567963185
244,-171.4528769723006
245,-157.63375422963543
246,-161.18284618744264
247,-164.01585264724832
248,-156.6235735280083
249,-162.59007306891303
250,-148.78993987745014
251,-158.84869387849778
252,-162.37333150571973
253,-161.13669886745012
254,-164.65607715956966
255,-162.24689535578864
256,-150.33578814655468
257,-144.41557291650074
258,-155.86936648504582
259,-148.19762316823804
260,-146.45437086265076
261,-142.01683882838745
262,-145.66752271119037
263,-150.2663155870218
264,-148.53874882760087
265,-152.52879380574026
266,-161.02255843954785
267,-141.73123035746536
268,-148.02204821897195
269,-152.26244399877748
270,-155.6038798463686
271,-140.07072216823303
272,-142.38277557332393
273,-145.72051685574462
274,-148.21467997835114
275,-140.09735093145594
276,-139.1069185769258
277,-147.16400562979945
278,-154.74260448507363
279,-141.35356698263573
280,-148.15953003156406
281,-136.0573320675842
282,-142.53456336249891
283,-137.97157720170432
284,-137.71903289145834
285,-130.56862311030858
286,-133.72775088752195
287,-140.85835733806343
288,-144.7176452772103
289,-134.6473324126489
290,-139.76609224956422
291,-133.10507703194514
292,-142.19907947225164
293,-139.3270377728731
294,-124.04563920629438
295,-126.59299317087329
296,-127.20932096160396
297,-134.288656649139
298,-123.25702980450852
299,-121.65391290519479
300,-132.4753610603392
301,-125.38128839787447
302,-121.15640631405788
303,-131.02107284381447
304,-120.05117956987957
305,-130.54086551795677
306,-125.44676145447144
307,-133.1910753159003
308,-126.54828289081522
309,-122.14218693278966
310,-112.05571064677298
311,-124.12806912295198
312,-122.85405623820746
313,-116.08426821254363
314,-123.01058811450174
315,-128.86297302689744
316,-129.76268350462476
317,-117.8461028296743
318,-120.92705403344483
319,-126.82927487481197
320,-119.35247892648285
321,-126.74359267785688
322,-114.85193094665615
323,-126.37650202385788
324,-119.41175790574749
325,-114.97409901337696
326,-108.50789751698855
327,-109.77846128453884
328,-127.6539085833132
329,-120.67821377854891
330,-110.11808998397923
331,-116.43842992117206
332,-123.20396476500252
333,-107.05844614243017
334,-103.36357205412295
335,-113.46939765668925
336,-125.41899143619379
337,-134.04441037765298
