,Local (|)
561,31775425.17792056
562,10122432.31002526
563,2387014.8409670824
564,28647811.16124582
565,27942392.735027637
566,60240468.25311239
567,7743599.948279387
568,37846031.62729643
569,58088825.82720163
570,3567127.4563646656
571,4559727.923086119
572,4715163.300424183
573,59506619.65465558
574,3895314.4470026162
575,9241368.848441456
576,24609474.272915658
577,34960588.3548577
578,15563903.878154801
579,22013695.489038903
580,48056353.73674546
581,8095589.062295903
582,56198688.16577582
583,9938482.032655776
584,12810244.594609825
585,7166881.819768375
586,53668777.66206105
587,11037698.818287034
588,11615225.191058898
589,6763385.78552571
590,35347693.67971833
591,13484107.10389341
592,31328197.786937606
593,20851037.440067727
594,18577382.02335966
595,68763991.5433289
596,2224230.4730800027
597,159595841.0489748
598,42919039.04322539
599,6001048.19873998
600,123121986.81569983
601,22373809.211119704
602,30125181.54963843
603,19999363.57538199
604,51465631.29228573
605,13218153.444936683
606,66436931.50190548
607,253005907.04664817
608,11370416.036378289
609,21294971.749375474
610,8233540.944841979
611,43946847.610954724
612,267853169.20475832
613,33126346.57683388
614,50898916.45330464
615,563641493.6915478
616,39662716.28743489
617,12413842.296396296
618,104232836.91098265
619,3756869.9214742747
620,28664530.187444925
621,27545305.66718364
622,74380711.96945457
623,619083501.1001796
624,5524508.951552925
625,8261376.120158037
626,10493610.247048344
627,20228987.85946082
628,234467002.38018018
629,9442724.699762454
630,16720815.245274551
631,291600910.04855424
632,775833998.4564017
633,17255403.261002645
634,21731072.164825816
635,38034067.550533295
636,56908278.10449009
637,102155916.83879454
638,12880272.939032316
639,18479878.618055616
640,58349012.97366585
641,7676941.697286924
642,57815101.50344529
643,18889040.135958396
644,27187949.162286233
645,116108615.905814
646,62276430.12364231
647,59157485.33649141
648,170464202.73175243
649,63257600.828372985
650,5441655.502451283
651,132679156.70427775
652,15320682.678196989
653,18034241.4226976
654,337611676.93788034
655,59492143.56115194
656,55649689.38694648
657,37058028.65228114
658,95911799.94507384
659,50318129.63879717
660,95844710.9798682
661,293546693.02473265
662,18359414.444725566
663,49812426.669837184
664,24947747.296488106
665,52099942.33844664
666,159379755.72664306
667,46920619.01836317
668,47814123.30498155
669,104258397.67825435
670,225632433.4972789
671,51690602.30122565
672,20951168.750107236
673,96639763.02980117
674,30975933.25559782
675,24511189.77466118
676,418293647.1745402
677,79579572.79490325
678,36057903.61903506
679,26410055.844956134
680,130720829.6547646
681,131516499.70372455
682,249833768.1077759
683,6666422.15812722
684,117176605.32631133
685,132695688.69558233
686,108249873.65196966
687,22791895.060717758
688,34210936.40480499
689,220377199.9537961
690,18806671.284970116
691,8076798.968515584
692,516607689.2490605
693,41935281.88685488
694,21375541.758514147
695,62708030.710874684
696,109069276.751187
697,499805933.5374775
698,95750623.35264172
699,133551443.77876928
700,138714315.91514984
701,421058521.9865646
702,16984407.73764201
703,26372329.264543884
704,12148729.500562653
705,785930683.6576176
706,70941448.96721293
707,38811705.43184913
708,142668347.3888053
709,156989391.15734974
710,170511733.29919422
711,167573167.8651938
712,60391079.934626766
713,27707017.35299743
714,29569506.371790353
715,62183638.268583626
716,28669410.629167333
717,41269765.17880734
718,32046118.810229413
719,63031921.78872062
720,48655375.843258016
721,292860754.2773076
722,95087167.51908885
723,11248569.937560841
724,125239939.78068562
725,112304135.77727123
726,52774248.84828917
727,67986857.15188226
728,106248317.80057676
729,821655975.0131458
730,195536884.08648682
731,47559197.43019349
732,81223587.80062854
733,23293836.34715562
734,22320751.216727532
735,618810010.7041675
736,475182434.601462
737,31223934.37466296
738,45995149.41020976
739,55465906.388957545
740,231151886.2871933
741,406467701.754679
742,516515286.94068736
743,61732369.789970964
744,49262024.71474436
745,66319488.120991
746,65833246.084078416
747,216290683.35762772
748,21451285.503077403
749,84102644.16682966
750,42388599.262634
751,75553144.01442774
752,91966485.86857286
753,124999326.01095241
754,285008356.3530233
755,59598477.59818977
756,130232561.01946159
757,149458333.82767844
758,194033974.21575615
759,210391370.69044706
760,169734321.0149018
761,20149644.612148438
762,48839467.39485949
763,57468793.74475217
764,162468107.8024593
765,164785883.9308578
766,172776664.83478707
767,109081949.16035461
768,687714628.9942453
769,57686269.84025508
770,83513283.9584852
771,147432369.52216843
772,44143488.949477814
773,254137770.0508604
774,141165040.40261275
775,314753202.1916803
776,69715815.82088697
777,673891155.4288353
778,302580998.52998155
779,106614862.60964231
780,51555382.55322668
781,504796767.6487918
782,188077413.43875793
783,51327235.90376789
784,116306196.212566
785,92919290.09011975
786,182904399.74397475
787,120619303.24379578
788,852597425.7218176
789,50510393.60266257
790,143865592.78942817
791,144805137.94677144
792,85628545.44378081
793,27605333.505959272
794,90341783.29082566
795,78602140.1158907
796,101798792.72112797
797,204152461.6033479
798,113916382.19713973
799,389555352.49802035
800,244374577.33208364
801,156842338.38087112
802,57910447.14446181
803,202057735.7302663
804,80316185.05461095
805,173514734.42177653
806,40377514.26966711
807,38010518.28172695
808,94149015.12098244
809,63478946.14452848
810,420328122.93379563
811,349744719.0979167
812,293828950.2553822
813,72555233.3979663
814,24577015.879941486
815,12763015.195804598
816,19909215.291375913
817,150637982.20404807
818,18098668.11284065
819,308012301.8696311
820,495319322.89079064
821,425060999.5350631
822,338808953.2951599
823,267164609.49895456
824,293670915.3786809
825,64753456.985141024
826,264230218.5654503
827,112781204.98104128
828,736312243.6814153
829,790430323.8443602
830,48597118.46309431
831,1463533759.4318604
832,179011582.33711734
833,48695997.10103933
834,153898088.977132
835,76417334.94586991
836,94321496.16851376
837,98741835.21034402
838,105107509.94712937
839,606447712.5474893
840,607295220.1023513
841,327158257.8315423
842,591063346.9814472
843,189185919.651988
844,105389515.4966656
845,44012985.855328776
846,221078415.13742915
847,148266950.43688375
848,51779426.02014142
849,1046493195.3123616
850,124874791.34138525
851,210170343.77318034
852,60959297.827828065
853,65042330.02033135
854,356940656.93666667
855,278486648.1887587
856,34262266.40754001
857,152922331.62066644
858,651975957.8799975
859,309113600.5806343
860,134577729.32214826
861,618735470.8931274
862,632460835.7250618
863,363640919.385741
864,844887136.8006872
865,25840618.144715056
866,629173364.1184251
867,141033221.06524575
868,33462373.842052106
869,74202691.69469924
870,51262438.8227777
871,219970149.83718988
872,84946634.49670015
873,880274169.0479997
874,174482779.93702382
875,223622708.48315883
876,114285970.4351891
877,702878956.9580534
878,271749140.4983643
879,195034982.35819715
880,1638709545.3887231
881,1209805696.0785375
882,171769020.62804946
883,251562298.18957257
884,57278511.31177423
885,196889931.23803407
886,267598317.48803124
887,179350949.17546114
888,650697689.6105275
889,431734846.3396684
890,54084140.206584334
891,753368019.5495325
892,153671724.03234726
893,38990386.82688412
894,849558790.5320648
895,222531776.94589543
896,418303423.02540964
897,260810549.8206991
898,710338057.861827
899,615583402.3259903
900,328810981.17365324
901,73290758.19720985
902,315578785.27446055
903,1476613284.496752
904,43944680.594692536
905,583988679.1963089
906,246130086.19001484
907,360038580.5488432
908,509630400.4263387
909,640401361.9823799
910,2503697188.757477
911,631794733.780473
912,212033265.5974481
913,210562231.24227512
914,150586891.47463828
915,138357923.88076875
916,699769662.8412203
917,371650802.3282469
918,228632476.09166256
919,29826721.77452798
920,161159283.46540445
921,1929352701.5201604
922,425411880.98565966
923,345354940.13105613
924,893017038.0855676
925,242549728.9963314
926,1553352930.7654154
927,472608334.4745625
928,1256683260.0060935
929,964877284.5370777
930,917214030.1872673
931,1712677299.6714673
932,939276835.2920144
933,1248367709.9847274
934,224612886.97031444
935,516883776.9305472
936,261259820.69943225
937,790568956.8282555
938,268415244.43524083
939,879017976.8444935
940,875205006.7305148
941,116693659.3921438
942,803057138.4491477
943,176476318.76523754
944,246591130.58805066
945,357624031.86523527
946,74442743.67376018
947,264186893.26026607
948,1014931497.7984504
949,503050693.1160682
950,619512714.0481524
951,80699962.02951552
952,257264858.23174894
953,153356722.63418275
954,638000555.7450887
955,2506113956.3215375
956,1345280555.1185863
957,29625831.796854023
958,213699155.62320495
959,538951564.9081539
960,535126627.3166675
961,1742302371.8523307
962,427323135.7721521
963,490741015.4721617
964,1447014407.2926774
965,774810204.7510391
966,560635830.0974435
967,1618213307.5230966
968,182634759.87793213
969,649962247.8405163
970,1455517560.309154
971,635618845.9504032
972,237265923.63605893
973,305798633.44688934
974,78365470.90380256
975,1529011365.8444977
976,495036112.3967787
977,580002510.7891072
978,246336896.7974775
979,202011670.1951672
980,340564137.158673
981,179013434.00193644
982,55284113.56656834
983,313758107.1021902
984,321938796.5508342
985,775713096.6627183
986,1014756888.3806102
987,490961563.1739952
988,244542864.37708905
989,834434248.5145181
990,367762577.4244351
991,418028996.4511946
992,417619129.66454136
993,344543709.6317721
994,549574837.3121263
995,371636395.30395687
996,821944022.1087754
997,323768010.691101
998,124239328.09498267
999,577467503.5225677
1000,406424260.8376269
1001,2943880053.5981603
1002,514886736.4790043
1003,1304794445.3393886
1004,124832266.00979875
1005,365593353.000948
1006,397684027.83240026
1007,2251545246.2097726
1008,1198304391.236157
1009,149808906.75498217
1010,569255007.4143502
1011,1196323145.147177
1012,238833795.2330519
1013,582723498.2426127
1014,647308372.3417186
1015,658674531.7540306
1016,369546373.09879595
1017,180078173.51919731
1018,272323730.2341939
1019,1474062462.3345091
1020,359931201.4952739
1021,581809841.3637744
1022,247517189.04415074
1023,236550084.83872434
1024,1579349715.397408
