,Difference (+)
838,32.1603373711448
839,21.132239194768893
840,50.95507100454264
841,197.24234923759715
842,128.7377511318681
843,4894.834354551137
844,35.63171533088954
845,285.8340104173254
846,2718.8900128040814
847,84.40097758153874
848,2125.1997370536483
849,1155.0371111217733
850,446.7196057334701
851,164.69462785277838
852,402.7402336378115
853,115.66484822508745
854,187.14698984104504
855,304.5159842598794
856,5536.80994933698
857,151.99581621083613
858,2718.0229770985898
859,36.6226873656206
860,975.3445377357766
861,136.80294904690132
862,132.30880037273553
863,30.35521325130833
864,254.58810092052903
865,450.4747038798069
866,78.60020274729598
867,114.04220421387974
868,23.392290151988814
869,77.61359087226393
870,506.4579970193704
871,2755.065277858366
872,633.538656603801
873,104.57450166188987
874,3750.001813862017
875,129.02291094077157
876,165677.8842040661
877,22.877533508083076
878,21.76096783444149
879,23.88781954930504
880,8009.37623798296
881,705.7562865895875
882,67.38461871007286
883,16.87349289444331
884,42.125930498728636
885,42.047046757517
886,81.7221002349223
887,1034.0505597247156
888,421.26055758701915
889,92.93729478566691
890,119.35636841495395
891,101.91079131661108
892,8068.899606377141
893,347.27354709059716
894,340.3064976591523
895,71.11948335584538
896,35.11420327724251
897,31.594299665089178
898,25.8602200181432
899,165.07028671229727
900,88.58583026751651
901,175.43711150663427
902,70.42072442387851
903,3103.551241380756
904,72.71526368023405
905,24.2026204271534
906,987.7366083257771
907,108.95498358605658
908,42218.91506018477
909,29.27971264082534
910,15.445954338933337
911,159.932840031081
912,131.05345703486424
913,154.45138236178715
914,52.825801918179415
915,2334.5377786021627
916,991.6578704926774
917,57.29662271932073
918,245.2480417399407
919,213.0160508657537
920,409.29080348715644
921,29.924917066841044
922,360.1678020429369
923,21.144045324751964
924,134.5630722443108
925,82.38178904267359
926,51.29645646198854
927,966.6548458388004
928,925.9468602872932
929,50.00484892043994
930,71.79090745011088
931,334.4858813246595
932,9.602977573634888
933,14.435434178422863
934,178.31632546052398
935,12.458872997955115
936,88.30449743577098
937,2570.648400342591
938,15.138037717727434
939,67.41296126280538
940,7222.642803757494
941,38.481007949167235
942,226.4013179687174
943,17.26706584950458
944,192.88515880162973
945,158.2419136336106
946,873.7175313143036
947,75.22821461994133
948,516.7906922675278
949,226.86414776948948
950,55.32865535425922
951,103.29059609628077
952,246.81433904502958
953,115.51456575642514
954,108.97843245329122
955,3846.9360627686256
956,117.33957055683163
957,39.81241412257566
958,19.846234982367015
959,45.609964372897345
960,327.5344006051971
961,64.53959374856157
962,245.5312526498661
963,8.906969733530634
964,1778.6530695405704
965,16.627101798957202
966,34.0680505966617
967,803.519718875521
968,608.58570918523
969,663.5042286648182
970,803.4387383017508
971,47.18385933623997
972,45784.68686046467
973,11.305586620024009
974,2485.5294514501543
975,21.886220783354524
976,16.207772060619263
977,106.66414308758891
978,9.552791794948504
979,22.72235682740795
980,19.723781969382777
981,283.43037654738754
982,302.4321024398146
983,21.379337453801874
984,60.70867325513212
985,115.33726184593453
986,76.34856766073105
987,98.15462172057148
988,60.002587141384865
989,191.01461210922096
990,67.3996723986985
991,305.8525359154066
992,406.880222151497
993,41.66031870636776
994,107.54175629655877
995,933.0448976509047
996,209.99952477316697
997,71.51938399314722
998,225.769439047793
999,39.562881293134474
1000,87.98994098820026
1001,428.49357906643894
1002,33.53748401829239
1003,3267.3344131074405
1004,89.99915090406797
1005,94.13610962155512
1006,159.17429499285169
1007,16.764345598653833
1008,69.93245747821098
1009,20.68958177587884
1010,17.61521456865252
