,Local (+)
404,81307345.2636056
405,5669052.297878732
406,29377957.44724385
407,1970239.0055796108
408,11753024.755867058
409,48891029.4728739
410,4893183.571775694
411,33826876.014866196
412,39604898.87795017
413,71223414.78357749
414,19761393.695163574
415,62658605.95607749
416,26697737.906603277
417,79629429.44014528
418,8050544.515947758
419,23154277.554501034
420,122429449.81351158
421,23746820.787434187
422,310465096.07106847
423,84631839.93116963
424,175883392.93915084
425,9468752.290020144
426,6602952.980012228
427,7167796.443791625
428,6681954.89419626
429,655825297.6549362
430,4731075.052958013
431,30548898.407751292
432,1462999.147006558
433,5817306.6735946275
434,138996490.42874745
435,7092874.512074912
436,25974252.930700485
437,22199412.12107717
438,53447281.885429196
439,27764206.22420761
440,176087862.72961378
441,204923452.1133041
442,6219639.3448935095
443,2926875.5213857666
444,23057285.970183507
445,74383691.79947555
446,20225531.3766251
447,228215630.13302216
448,267164389.54808176
449,3602717.778683978
450,68389623.87582572
451,15586549.771869235
452,20463087.774460223
453,15219635.86645387
454,9322391.218108712
455,13916338.976982176
456,5259807.303513165
457,82822162.07193893
458,55718599.89714194
459,5076754.523263583
460,100973757.42259607
461,31382971.43949612
462,4571102.64719615
463,5837177.989248448
464,24009168.18293863
465,9855944.712285174
466,156053410.39790094
467,10424382.482795333
468,18984403.23898458
469,3947022.1134874932
470,126775893.73358229
471,8679226.157730984
472,39513043.506501265
473,50809352.510084294
474,182504395.4287494
475,10081988.80012256
476,18320655.21209315
477,12132704.646956014
478,39516778.58659217
479,86458083.52855812
480,65711730.458061
481,271109272.26127
482,49421657.147439286
483,41015873.58867686
484,8790362.454623248
485,16317608.301975027
486,21049388.58423699
487,93091276.68897533
488,12521410.46296606
489,40553381.54213764
490,33733080.9747688
491,5898252.490667259
492,4109038.979089742
493,21820389.525836345
494,54852976.67585672
495,4169477.4814034016
496,9580658.976673316
497,43840279.82069239
498,4631512.794848135
499,76212151.9233711
500,14911736.007691996
501,15827588.581957834
502,30510513.9416968
503,5365896.52715453
504,3981772.061257836
505,9533554.256670788
506,4204342.854468078
507,25426647.162413437
508,238930909.04305255
509,6341856.52197022
510,242072640.1315322
511,11657174.975183893
512,23115130.488461833
513,293000734.3198546
514,25320402.86880602
515,22087148.518383157
516,22354612.776009534
517,1579498.0069600355
518,6467404.4598632855
519,195560285.89404717
520,320090288.0093324
521,4100253.3954991046
522,223709594.17399868
523,51309900.13803035
524,12298291.603211703
525,16474605.36145499
526,84495584.92931756
527,56059720.91007696
528,20720559.120290473
529,67336217.61349604
530,23836990.351299174
531,4221188.09869462
532,37238174.05789514
533,35854473.37944014
534,12812888.525196668
535,100674659.92526618
536,122412918.22983807
537,24048951.439196736
538,463199527.9458528
539,13368556.41718057
540,4414296.0213099765
541,52957204.39569904
542,71162465.05702096
543,19451200.504081585
544,58576280.43034027
545,10978317.311668433
546,74397479.22512363
547,4065453.198045397
548,64753085.14763458
549,45823123.132690765
550,208043289.00970232
551,79002023.90168087
552,3635779.887813436
553,100970661.5997596
554,54644652.318718284
555,182656239.2725148
556,52270618.92620311
557,34992821.722601324
558,4005788.2739755805
559,15199428.609819079
560,18522795.958423667
561,39842719.220457144
562,5513908.0291147465
563,27479536.177999835
564,145752003.6433875
565,87517342.9269823
566,26442793.266736712
567,50500848.97637316
568,84029907.92239478
569,22953311.390360147
570,22622093.552540205
571,572293833.1158017
572,19112690.18978624
573,76462534.2078752
574,29186110.262865458
575,18828685.86876877
576,146567764.82235274
577,115212476.72185282
578,8190186.660464622
579,11134672.640088644
580,3577502.4680875875
581,27531809.747937232
582,151253752.4832114
583,100619381.27891736
584,9775973.176194351
585,91876061.46717264
586,14894616.07686489
587,31310986.18693345
588,1959475.1688813465
589,63414035.172621354
590,125272000.25114554
591,11602392.368492076
592,20372219.57544329
593,156509743.22357258
594,308751285.38901675
595,18923573.10014454
596,54199213.98592644
597,62701225.820756935
598,450715466.3118717
599,36721766.24119298
600,217360405.06350863
601,116253003.83059075
602,7529722.929329933
603,32127493.07739025
604,473121614.951668
605,102386004.1598334
606,16476183.583745604
607,40091608.752333686
608,97373798.88171908
609,117468239.17994966
610,45775435.466858864
611,18480766.048133913
612,164613562.58813688
613,123064277.13359447
614,342607240.4762093
615,87079881.36282158
616,51244263.46120569
617,35591811.83295611
618,122725762.9599334
619,42016802.24028902
620,5334535.840708834
621,34726565.49446428
622,19184906.328974742
623,70885657.0220445
624,91338157.49277529
625,32151973.681208394
626,77928364.24616857
627,259346131.5532004
628,23079728.173809662
629,36898465.42991172
630,29439766.74900127
631,18998253.27327046
632,12706910.052282346
633,1906248.6097242797
634,46700003.24807627
635,76152030.82499312
636,80779469.66176441
637,39599695.67491093
638,303313440.50193155
639,3313964.039124706
640,21449784.937225405
641,22879646.37203239
642,179313539.71857443
643,10041698.436061975
644,75482712.49622059
645,638854423.4546896
646,54588932.9305684
647,14814608.554500869
648,57968531.250100456
649,3649231.0495969937
650,46462720.36560181
651,137607085.5056336
652,33201779.2104559
653,101767792.33211704
654,50205193.32043173
655,258904282.22825107
656,16426914.86339056
657,14297698.654219465
658,126828424.86407179
659,15597862.809486032
660,294478027.238566
661,55371698.90243501
662,159425975.08725917
663,318788784.05332077
664,22661595.833785336
665,78979391.94174919
666,28914052.095316336
667,55531263.64196699
668,125817362.18827929
669,81963267.41403091
670,55052953.93306119
671,151951109.3085292
672,57282450.38032439
673,32878222.437884293
674,37786069.29219606
675,148420655.13488424
676,165664129.686485
677,66045959.59386019
678,26104023.743730217
679,33038543.504783813
680,60670406.02119967
681,87115248.02711494
682,116363298.45330204
683,89834259.26982665
684,37811217.64245895
685,78278864.52516527
686,413440853.06455225
687,27188426.5458364
688,17689467.902876567
689,67586242.6235465
690,56580809.62337195
691,28413248.108078323
692,227565900.837877
693,79870757.69576766
694,350569137.29957414
695,111209154.98950931
696,20562873.480985366
697,58787408.47281621
698,119331565.37823226
699,68272306.48847252
700,42157322.00829268
701,17540954.9947378
702,2143958475.7533069
703,298950377.33308035
704,117703416.70357247
705,193034519.15688553
706,130944997.10654572
707,398679161.8074303
708,63132118.86980355
709,35644636.40434322
710,134274651.6610167
711,175536302.56382495
712,65613296.59121056
713,203786520.89040157
714,68932979.30610938
715,79560363.7588058
716,94005611.65137649
717,277822343.9192641
718,332090410.46285844
719,293652580.81575894
720,58615002.11422137
721,85384313.47110596
722,120748945.5901875
723,20996136.208606485
724,217415468.4795415
725,173960505.25995395
726,24752434.380617697
727,122968461.4775833
728,105275253.61541991
729,96805186.37993015
730,87771825.05528419
731,323713283.22626436
732,180508061.7088628
733,65220278.01194144
734,68505311.9963394
735,39182273.446254715
736,20351486.659356445
737,533906511.5487
738,248942034.87679175
739,103074612.35918175
740,149719599.02397966
741,60408448.316482455
742,267030342.68720692
743,31610572.87410247
744,396413060.85025805
745,487146545.3050451
746,106131785.84503528
747,115186821.24832383
748,111403134.18423103
749,22720785.899762858
750,508807046.3045442
751,260952635.53728634
752,99343152.36044422
753,69556054.49140112
754,287599465.2995527
755,140607655.6473303
756,25461534.772660382
757,85187739.25486398
758,18413964.985574663
759,122706409.83100413
760,51317882.89806584
761,766491943.0518496
762,91110282.76598625
763,726668814.7342544
764,231195194.79979593
765,166780532.35083756
766,876405652.2472044
767,24148379.089702394
768,535906171.9117763
769,130912700.571381
770,56809703.03186467
771,188524901.17416286
772,88642977.48269506
773,99696919.8016561
774,102334874.38647479
775,89596997.77326967
776,504460813.6513301
777,265941099.3508677
778,12710402.306150312
779,40378791.25344964
780,186080374.62615323
781,33875508.184782036
782,43342587.282847084
783,474305663.9383787
784,154527995.0709881
785,83370563.16445297
786,159616984.15167114
787,145187503.97320268
788,152269275.2504617
789,104422951.39491853
790,349054259.8926553
791,183582784.68987423
792,136608384.30800045
793,37436506.039634764
794,118118348.95754096
795,78520553.95142828
796,224166578.72768635
797,41822495.9363943
798,511558094.7270726
799,572828098.7058548
800,94209777.74019927
801,309277035.49724996
802,57367918.703757085
803,386440540.9569199
804,454904417.0325423
805,658990348.5153316
806,486661396.5308292
807,196254202.93332553
808,169248329.3878112
809,2062073437.0072875
810,33783275.66666444
811,158061942.42905116
812,33685948.779020645
813,79979570.6877004
814,946273094.7874517
815,173436645.75694415
816,142355961.1751828
817,334170527.2173968
818,56984812.68122983
819,94035004.16232927
820,92862092.78166553
821,273067554.3371116
822,154995388.3704064
823,106333068.98639098
824,180128375.74732193
825,94290412.80461149
826,1871092653.2515614
827,291695025.3441889
828,337645547.57108194
829,545764201.9138821
830,67856473.94927995
831,207955724.240974
832,376172087.80230075
833,140375510.84600163
834,142022933.8246025
835,181728081.53784546
836,1906069597.1753836
837,227551498.33459044
838,154243013.08569175
839,92816434.83936764
840,394261718.82947856
841,997624247.608454
842,198366585.7776062
843,914131846.1909728
844,626418448.0200143
845,513857456.4884405
846,564633783.8756675
847,44848784.151810765
848,86945928.12073666
849,593984722.166437
850,362688283.04190564
851,1059853874.1763337
852,828308036.754518
853,478124892.8679863
854,212896236.7647865
855,844372549.1528605
856,381570671.5938431
857,507486806.3558672
858,901250657.222314
859,799553677.4248163
860,333696230.008512
861,844108010.0365541
862,211262811.77922896
863,61917526.48990185
864,339582007.883298
865,1043702893.5256376
866,770797071.6078938
867,421900616.39959
868,409236586.5360613
869,595459907.3804088
870,308049029.5331055
871,548040078.5345653
872,383029423.8516686
873,620406806.113788
874,132637644.34313548
875,66241078.10348337
876,167875101.41218546
877,2346992644.0261273
878,334925402.8269848
879,1214634232.4022467
880,683176349.7581664
