,Global (+)
361,55848.260247241415
362,2564.643782076277
363,107420.15687823463
364,10061.771658437947
365,95769.88682492996
366,45133.2447419133
367,3489.357225404976
368,3064.7497175898006
369,10630.409789352465
370,3717.1522714571965
371,79154.42531088575
372,4582.47399152531
373,27347.420246608708
374,2548.4438790113054
375,11888.748893182055
376,3310.7118996816184
377,1848.4253850657371
378,2147.900301885455
379,2594.0915928474283
380,11818.829946142674
381,5658.9023122367
382,29477.91536463501
383,1443.9787792749592
384,22706.495948361127
385,3600.5527067122143
386,4419.476867440016
387,2610.7148238990635
388,3914.7093086739187
389,1157.952272242174
390,4157.651370561511
391,12473.403793547244
392,4971.0369267432725
393,820.6022792077722
394,607.5525407491155
395,4030.896216534237
396,5862.673846685269
397,3395.865087119795
398,1493.8014228417621
399,687.3074331138193
400,1478.14448921091
401,9335.457890920707
402,11253.494127871327
403,5243.100656711542
404,1125.3001598738588
405,3716.8258016127343
406,588.3697139447255
407,32800.43996437974
408,4847.677474078312
409,1059.948893970265
410,1903.0597476876144
411,1254.36984103184
412,16556.508564523167
413,965.0285366844628
414,477.90738224825583
415,814.2956727445609
416,521.7949521220914
417,918.4192205216782
418,984.1106276720747
419,2264.986469859514
420,1006.6037047459196
421,4123.112681914949
422,553.0718962337106
423,421.63982264045273
424,1507.2116121439542
425,5095.948598776979
426,317.39679518722266
427,4014.7639314640223
428,12445.957519336174
429,1324.2254150698839
430,186.0238352286867
431,1093.4204629452681
432,1236.1811489964027
433,680.3143735719879
434,519.5670966783263
435,1085.6393730991638
436,440.79154359544026
437,754.8292758148369
438,198.49619171830506
439,928.5434333211788
440,716.681522665453
441,429.5344490587052
442,1353.8180678334838
443,194.93136335431188
444,375.93422692631236
445,1036.8038187803356
446,747.9397833175734
447,196.82409301870652
448,13239.299020120423
449,271.99667209396097
450,255.07548470543318
451,159.7129282476507
452,178.18939941634136
453,781.021190963458
454,348.99987947657
455,1758.1765190620026
456,6056.575094896775
457,193.52109555073028
458,203.15966118613764
459,770.1686223768498
460,108.8749024284285
461,571.2709092659383
462,255.5614318950321
463,3645.9990155985806
464,2025.4622543797584
465,426.4062841124271
466,389.2020788064878
467,411.1177114156789
468,228.98067080165083
469,712.6003013161704
470,175.8365366849972
471,3888.265936379524
472,386.0727501918763
473,90.79999971685301
474,143.09374705662876
475,259.995924680462
476,57.13087728904317
477,1153.5037322671271
478,70.30408637692544
479,87.85428128497927
480,622.6097881418674
481,86.83880394586363
482,672.0251565583234
483,652.8860936636293
484,264.8464961214878
485,152.97074907880264
486,364.0592414428495
487,97.89078854731557
488,768.463031226457
489,155.85735582508082
490,69.0688942513583
491,449.37802590741364
492,65.39212678902797
493,97.71444927752866
494,88.03343057872293
495,80.95188364278529
496,1088.9978594874424
497,746.5521384064824
498,166.2356799530248
499,3287.8920841783956
500,86.60134467305727
501,256.17171258497837
502,83.31771683503909
503,158.94468834702437
504,58.183486671615675
505,133.99520016517258
506,85.56155936484984
507,51.648497075399085
508,107.3112107613286
509,354.14721219587545
510,94.66401416714379
511,189.068956519846
512,214.57070803382015
513,275.2010999929839
514,367.3398401228736
515,158.35378206548398
516,179.70332193409996
517,1102.5043565631545
518,367.12640770706594
519,197.40342767764625
520,136.83538264992754
521,121.02731092400292
522,403.410784993134
523,43.327982787404956
524,6167.4366292557925
525,393.19168304693613
526,138.19490280447755
527,440.6563069348998
528,343.64201831068095
529,371.29003336523743
530,38.47311203019712
531,151.30639356678824
532,50.535619926372696
533,26.258488311769554
534,99.08981317550749
535,438.4360090774245
536,2712.231779059274
537,130.0899416313562
538,23.54929367868044
539,99.93892977317181
540,3013.2772164710677
541,88.85476161659709
542,76.79197152295787
543,89.16246982154367
544,458.09802663447033
545,1919.1073935254262
546,258.6719149158004
547,25081.26119004312
548,78.95305014097603
549,44.081982272557184
550,559.9729183443396
551,46.967900706509056
552,419.71271940512884
553,71.97324598490385
554,613.5352772759238
555,1020.2384186204841
556,494.00120491627155
557,232.15412046546632
558,56.15564364563929
559,346.4735463698422
560,184.67255523058063
561,262.07531741467017
562,149.24566202426894
563,75.99723390439699
564,815.0201754816718
565,59.92438935180088
566,60.6440039821268
567,72.55206734857622
568,128.597765840784
569,5845.138380480317
570,123.22751287847233
571,77.60433014445123
572,308.1961211215477
573,124.53294323591606
574,165.58603026643354
575,72.10012574611184
576,89.45306114142372
577,249.82501556330834
578,278.0150212573433
579,243.7405076503717
580,165.0930044696077
581,219.92580566836287
582,336.7572571024165
583,25.816839620623384
584,166.9667412529004
585,18.64979631076221
586,1185.3340515756179
587,42.35170712967434
588,41.20430538589962
589,195.75867380645158
590,155.51262732399272
591,277.31335774065144
592,21.3722083805605
593,26.47679902003216
594,24.172904952747288
595,45.397458137646396
596,42.78739981580246
597,1184.2506204369251
598,248.07216782681178
599,110.30736180601676
600,63.7732546549057
601,114.05268293454421
602,16.087902505077587
603,137.84277565177825
604,43.30632389325567
605,26.252529618805337
606,24.37945125343522
607,174.73633699563695
608,20.653192839793586
609,469.9461113709809
610,227.74548232008004
611,1262.356832373123
612,57.28194270025756
613,75.78267490703271
614,44.751564588317876
615,117.552236290149
616,334.15727353596964
617,1100.661815196241
618,479.9140995086876
619,189.4932507651637
620,80.64549596562675
621,52.374090943774384
622,332.5404942662312
623,25.0782413022997
624,56.80883619600353
625,203.12773929075664
626,7647.616805932656
627,332.09624201118294
628,125.12561702265207
629,67.86332181267323
630,75.84573400918939
631,16.704209875719787
632,452.795049502165
633,332.5199376570551
634,145.08508997934223
635,663.344380950177
636,33.91062093234323
637,1093.044585460238
638,39.66121618610438
639,45.37333126443399
640,208.04124036083016
641,62.69173489523749
642,145.13365996998957
643,39.76153569997059
644,152.75177991613876
645,115.47727326985272
646,476.30734611933815
647,73.47439609256583
648,51.92676247794203
649,197.14426642416953
650,143.063910827872
651,390.55109151950643
652,88.01808289194476
653,55.62953247768335
654,23.766228986559828
655,174.38662625845825
656,286.19155201585556
657,212.30242507744254
658,38.52754349443994
659,106.46778835694995
660,39.901810512993684
661,77.1672724520303
662,69.44923200957804
663,251.60901175086116
664,1491.7444152086364
665,339.9192753485371
666,159.0842070767829
667,1180.8663874429585
668,65.49082866254707
669,47.57209037750181
670,32.72070552541147
671,1378.5077706015516
672,50.21523993801436
673,131.36706047629139
674,31.957368684245893
675,264.479384468628
676,24.31080508989171
677,83.50046068205393
678,32.07786106830769
679,311.16067247694576
680,49.81325227763395
681,109.07233373514366
682,41.688600895287536
683,20.093334460626888
684,53.12018426661263
685,21.668968746445362
686,26.84167693075108
687,4533.327032937842
688,33.817186588175986
689,83.85804585594954
690,216.79781899319582
691,203.7948582816501
692,27.55619730847754
693,11.929097872384368
694,82.86557681658655
695,303.7297350158392
696,262.2270197205507
697,47923.671240729804
698,31.72210398043838
699,78.49298320878219
700,72.49774572146777
701,50.02415176563178
702,48.17516735546897
703,58.82367175115226
704,139.89338850376387
705,532.6531551502708
706,65.4725062885274
707,515.9766879030923
708,37.227544403648686
709,26.42715977671957
710,131.357281622345
711,34.35956994165042
712,11.387993823089905
713,655.8818048294975
714,500.5992343082925
715,54.42528134841958
