,Difference (+)
312,3.8139730821053313
313,3.93903711080239
314,3.8444919942912557
315,3.790907824814445
316,3.720589770813843
317,3.912773893429293
318,3.871086560490745
319,3.713110341077827
320,3.7898540555301397
321,3.8645521753359744
322,3.71696609004924
323,3.7760306642252903
324,3.7146413923280117
325,3.7421268436309014
326,3.7705878259846206
327,3.7870818206436865
328,3.8464680103258626
329,3.8612395878226957
330,3.7332617254788176
331,3.893629139404866
332,3.8124344826948726
333,3.762111985446457
334,3.7120129224534772
335,3.690328804210961
336,3.686710281820985
337,3.7005608123031832
338,3.6876624306699624
339,3.704944587896094
340,3.7164463714443716
341,3.637606066725572
342,3.6967851094928728
343,3.725576811697235
344,3.7861239495089265
345,3.6225477730004765
346,3.7019329291456797
347,3.7070183653629845
348,3.6693405824861416
349,3.663849797633848
350,3.6407050451777048
351,3.6414053242483115
352,3.688737379298879
353,3.700630412364859
354,3.7236893455481517
355,3.6945501910290317
356,3.676996683259713
357,3.6657254094813787
358,3.5976117983314295
359,3.592660728778456
360,3.5968125918058917
361,3.505845939834951
362,3.5330724966218012
363,3.61663031769871
364,3.72844938764562
365,3.6261310796973145
366,3.628233438957398
367,3.416949608538826
368,3.6527763793481753
369,3.603013716675044
370,3.576463797965356
371,3.5701839192128695
372,3.6543477306578334
373,3.5204913157897133
374,3.5146072710453966
375,3.6302120730922582
376,3.569983727321705
377,3.599467022685338
378,3.5235554277528167
379,3.486382084627831
380,3.569937089469738
381,3.490734371091359
382,3.6457638267284644
383,3.5601510444158158
384,3.5284250786098377
385,3.4506300474477865
386,3.4723663324273066
387,3.517416281704168
388,3.475967093803125
389,3.5051082710010735
390,3.5033620329917943
391,3.492453800686971
392,3.4756428091051568
393,3.5242618525964704
394,3.4945200648116383
395,3.560687581814089
396,3.518736645591023
397,3.5161936351463745
398,3.485071320769213
399,3.5483927003985136
400,3.5646257167558884
401,3.471671188956179
402,3.5491361215114714
403,3.5934983672517777
404,3.4774274473430262
405,3.523949974213801
406,3.5436668097631134
407,3.5837260168854295
408,3.512193652881871
409,3.5173014091005896
410,3.5657618963654043
411,3.569428465938951
412,3.49381470550645
413,3.6033926522533455
414,3.5138246843606544
415,3.4826049194247846
416,3.5308935574083202
417,3.3256723809406354
418,3.477946739277225
419,3.524525196956776
420,3.4529479840135786
421,3.4387528662205473
422,3.446587284006983
423,3.4730554979943706
424,3.429519866044962
425,3.380804001357046
426,3.38626974836933
427,3.524665912347987
428,3.459247343907939
429,3.399911557538883
430,3.3686970699330394
431,3.566518833845225
432,3.438453809259617
433,3.325503258837899
434,3.4598756823274113
435,3.4485071667029277
436,3.365828308038517
437,3.414665934136273
438,3.621838458588764
439,3.3906390236314885
440,3.397534427667604
441,3.4139915205653932
442,3.36287183376271
443,3.4400496745899365
444,3.43194099652342
445,3.3972356202883756
446,3.5197412158829056
447,3.3508576917227
448,3.3616794227465867
449,3.345145605336022
450,3.4274490852789534
451,3.3794704765384926
452,3.3677307670788093
453,3.473690275938983
454,3.312872948629411
455,3.400530996665772
456,3.470800574780478
457,3.356620745717712
458,3.319691040675928
459,3.314663808309514
460,3.398941370456203
461,3.4651229167280087
462,3.515005087054258
463,3.380048233959147
464,3.3397371964291476
465,3.348891032940248
466,3.310423709624006
467,3.3834340104831373
468,3.3539544057334902
469,3.3590121871338536
470,3.1789700685023345
471,3.305928840817873
472,3.3272111276510943
473,3.3567423851276748
474,3.273205997079083
475,3.3260079337163444
476,3.378448038912232
477,3.239727192643981
478,3.3101239823985247
479,3.180090804548275
480,3.2749023310480876
481,3.397707717816514
482,3.2760446527466525
483,3.3105458727520145
484,3.375487247042173
485,3.3424972910033994
486,3.342378574521736
487,3.351829274701233
488,3.3585282907396565
489,3.34138589222769
490,3.4298289686703636
491,3.332445046952733
492,3.273396228936238
493,3.1447350704824957
494,3.2997944430113173
495,3.2964772121378023
496,3.2709304190326947
497,3.2439187000601963
498,3.2858526569301216
499,3.304841858632201
500,3.37577428559307
501,3.342552811409134
502,3.4006228647834944
503,3.259248281731467
504,3.338023628944619
505,3.3727197563733844
506,3.351229803219322
507,3.4183217905670413
508,3.399173639355518
509,3.358055623547385
510,3.338158529658102
511,3.3105152524265717
512,3.3041112651728173
513,3.3409653535608825
514,3.3609321999337927
515,3.336488657577659
516,3.3605615406694973
517,3.297982714813724
518,3.423493571700684
519,3.21705289535167
520,3.397135160346569
521,3.2645801813165445
522,3.254344667018505
523,3.259839771500918
524,3.35720474272064
525,3.3392835500319293
526,3.2561964372525614
527,3.4027736999203615
528,3.40946550268982
529,3.131961414103
530,3.218395817200904
531,3.2116794240018978
532,3.3101745356430925
533,3.2980325027533897
534,3.3038430721694847
535,3.2470920947852147
536,3.185934691636392
537,3.242728570839281
538,3.3330098410796904
539,3.2779134815813555
540,3.2461699524438576
541,3.2225928407112
542,3.3009996845355185
543,3.3256717652056254
544,3.343059020075136
545,3.3288608117730423
546,3.172292724775236
547,3.1917950776633175
548,3.236299501048848
549,3.323211014297624
550,3.25403761946449
551,3.2512339777255597
552,3.3774967986948936
553,3.2494077247292807
554,3.377144816337794
555,3.199900719499149
556,3.315621922736886
557,3.294298681231658
558,3.2648549416803796
