,Global
370,11755.993650085888
371,8091.66634516005
372,30051.1482287242
373,571200.3700720544
374,49056.55600835555
375,6433.569905870208
376,8606.989173268132
377,10581.00886501159
378,29840.872037316094
379,88881.30437141862
380,21409.36828860192
381,171773.09462956578
382,13291.359250763302
383,42477.43544287532
384,17314.521140837125
385,83635.91349519594
386,35293.854407768034
387,197353.78038140383
388,9181.676594843972
389,18333.38131040563
390,31760.55055954253
391,36968.78459761872
392,662816.148764905
393,55545.441326832784
394,4501.9587348910245
395,95426.08079689051
396,488117.55201911536
397,10968.949432562396
398,90910.76246928536
399,16436.00973179789
400,51711.42646711156
401,23877.14733914921
402,11273.48985840006
403,1970.9567338865497
404,3136.863951212255
405,19158.92819862922
406,99882.64560647446
407,27059.197140854656
408,74047.5714930159
409,41583.16847168455
410,79408.00805697993
411,10356.047189988483
412,57687.66042115082
413,29219.06711457248
414,60231.69140550719
415,117466.02798916482
416,21962.248503299274
417,19474.094817889658
418,42253.12543797029
419,29823.02586231233
420,209628.94793338954
421,17152.839335354452
422,57729.48596712172
423,20477.07657784899
424,47841.86785078854
425,38054.1615512304
426,43230.26223870483
427,62333.51981953573
428,5687.527418483273
429,34749.90273377675
430,44552.576817177134
431,51977.1810730877
432,34830.074207683225
433,48996.33292388637
434,11267.239106776953
435,43387.943164934266
436,9905.36596258618
437,16003.353408287297
438,149803.1845345761
439,13147.824272680267
440,8524.5017906343
441,45014.77755311004
442,44936.523704991225
443,12811.976077016214
444,55933.3433028927
445,63361.65249998027
446,28974.560647684862
447,32524.4559904015
448,6641.769796396509
449,70976.95006497171
450,6558.490724834976
451,20646.24377962114
452,549806.8550852695
453,39041.82066863298
454,3908.00230140993
455,19341.31263441626
456,66810.06905887912
457,574709.3473554619
458,269667.86231256806
459,8162.303199994772
460,49431.198564126724
461,364374.0068551969
462,126163.38226227791
463,216002.44217658832
464,25257.095767734143
465,20286.378837515556
466,2434623.5648972243
467,6695.840534392565
468,12689.320934291389
469,23975.947833720023
470,12540.162281140547
471,3318.7790406129675
472,13395.611199254312
473,63388.29694624167
474,57076.21504501662
475,1416120.5667337012
476,44510.759894314615
477,135907.66189866565
478,33618.80720358773
479,81882.53798606487
480,18965.750952681617
481,26128.039382683295
482,1618799.282495761
483,5089.932774446003
484,18487.96361815235
485,8169.5382591734715
486,4866.020602160425
487,75911.69062555097
488,2196.7477675170508
